ability	non-
abolitionist	non-
aboriginal	non-
aborigine	non-
abrasive	non-
absolute	non-
absorbed	non-
absorbent	non
absorbing	non-
abstract	non
abundant	non-
abused	non-
abusing	non-
academic	non
academically	non-
accelerated	non-
accelerating	non-
acceptable	non-
acceptance	non-
accepting	non-
accessibility	non-
accessible	in
accessibly	in
accidental	non-
account	non-
accountability	non-
accountable	non-
accountant	non
accounting	non-
accumulative	non-
accuracy	in
accurate	in
accurately	in
accusatory	non-
achievement	non-
achiever	non-
acid	non-
acidic	non-
acidity	non-
acoustic	non-
acoustical	non-
acquired	non-
act	non-
action	non-
activate	in
activated	non-
activating	in
activation	in
activator	in
active	non-
activist	non-
activity	non-
actor	non-
actual	non-
actualizing	non-
actuarial	non-
acute	non-
adaptability	in
adaptable	non-
adaptation	non-
adaptive	non
addict	non-
addicted	non-
addictive	non-
addressed	non-
adenocarcinoma	non-
adequacy	in
adequate	in
adequately	in
adherence	non-
adhesive	non-
adjacent	non-
adjectival	non-
adjudicative	non-
adjustable	non-
adjusted	non-
adjusting	non-
administrative	non-
admissibility	in
admissible	non-
adoption	non-
adrenaline	non-
adrenergic	non-
adult	non-
adulthood	non-
advance	non-
advanced	non-
adversarial	non-
advertising	non-
advisability	in
advisable	in
advisedly	in
aerated	non-
aerosol	non
aesthetic	non
affected	non-
affiliated	non-
affirmation	non-
affluent	non-
afforested	non-
age	non
ageist	non-
aggregative	non-
aggression	non
aggressive	non
agoutus	non-
agricultural	non
agriculture	non-
alcohol	non-
alcohol-related	non-
alcoholic	non-
alienable	in
alienated	non-
aligned	non
alignment	non-
allergenic	non-
allergic	non-
alliterative	non-
allocated	non-
allowable	non-
alphabetic	non-
altruism	in
altruist	non-
altruistic	non-
alveolar	non-
amateur	non-
ambiguous	non-
ambulant	non-
ambulatory	non-
american	non-
ammonium	non-
anaemic	non-
anaesthetist	non-
analogous	non-
analyst	non-
analytic	non-
analytical	non-
anaphoric	non-
angler	non-
animacy	in
animal	non
animate	in
anomalous	non-
answer	non-
antagonistic	non-
anti-social	non-
antigen-specific	non-
antral	non-
aphasic	non-
apnoeic	non-
apostolic	non-
apparent	in
appearance	non-
appendicular	non-
appliance	non-
applicability	non-
applicable	non-
application	non-
applied	non-
appreciable	in
appropriacy	in
appropriate	non-
appropriately	in
appropriateness	in
approval	non-
approved	non-
apt	in
aptitude	in
aptly	in
aquatic	non-
aqueous	non-
arab	non-
arable	non-
arbitrariness	non-
arbitrary	non-
architect	non-
arctic	non-
arguable	in
aristocratic	non-
arm's-length	non-
armed	non-
aroused	non-
arousing	non-
arrestable	non-
arrival	non-
art	non-
arterial	non-
articulacy	in
articulate	in
articulated	in
articulately	in
articulateness	in
artist	non-
artistic	non-
asbesto	non-
ascriptive	non-
assembly	non-
asserted	non-
assertion	non-
assertive	non-
assertively	non-
assertiveness	non-
assessed	non-
assignability	non-
assignable	non-
assigned	non-
assignment	non-
assistance	non-
assisted	non-
associated	non-
associative	non
asthmatic	non-
athenian	non-
attainment	non-
attendance	non-
attended	non-
attender	non-
attention	in
attentive	in
attentively	in
attentiveness	in
attributable	non-
attribution	non-
audibility	in
audible	in
audibly	in
audio	non-
audit	non-
auditory	non-
auratic	non
auriferous	non-
auspicious	in
auspiciously	in
authentic	non-
authenticity	in
authorised	non-
authoritarian	non-
authorization	non-
authorized	non-
autistic	non-
automatic	non-
autonomous	non-
autopsied	non-
availability	non-
award-bearing	non-
awareness	non-
back	non-
bacterial	non-
bactericidal	non-
balance	im
balanced	im
bank	non-
baptized	non-
baronial	non-
basaltic	non-
base	non-
basic	non-
bass	non-
batsman	non-
behavioural	non-
behaviourist	non-
being	non-
belief	non-
believer	non-
belligerence	non-
belligerency	non-
belligerent	non-
beneficial	non-
bereaved	non-
biased	non-
biblical	non-
bibliographic	non-
biliary	non-
binary	non-
binding	non-
bio-degradable	non-
biochemist	non-
biodegradable	non-
biological	non
biologist	non-
biomedical	non-
biotinylated	non-
black	non-
bleeding	non-
bliss	non-
blocking	non-
blonde	non-
bloody	non-
boisterous	non-
bolting	non-
bonded	non-
bondholder	non-
book	non
book-buying	non-
bourgeois	non-
branching	non-
breakable	non-
breaking	non-
breastfeeding	non-
breeder	non-
bridging	non-
british	non-
brittle	non-
broadcast	non-
budget	non-
budget-holding	non
burden	non-
bureaucrat	non-
bureaucratic	non-
bureaucratized	non-
burrowing	non-
bursate	non-
business	non
buyer	non-
cabinet	non-
caching	non-
calcareous	non
calcite	non-
calculable	in
calendrical	non-
callable	non
calligrapher	non-
caloric	non-
camp	non-
campaign	non-
cancellable	non-
cancerous	non-
candidacy	non-
cannibalistic	non-
canonic	non-
canonical	non-
capability	in
capable	in
capacity	in
capital	non-
capitalist	non-
capped	non-
captive	non-
car-owning	non-
carcinogenic	non-
cardiac	non-
cardiovascular	non-
carer	non-
caring	non-
carrier	non-
cartesian	non-
cartographer	non-
cartographic	non-
case	non-
cash	non
cash-limited	non-
catalysed	non-
catalytic	non
catastrophically	non-
categorial	non-
catenary	non-
catholic	non-
caucasian	non-
causal	non-
causality	non-
cause	non-
causing	non-
caution	in
cautious	in
cautiously	in
celibate	non-
cellular	non-
cellulosic	non-
censorship	non-
central	non-
centralised	non-
centralized	non-
cerebral	non-
certifiable	non-
certificated	non-
certification	non-
certified	non-
cervical	non-
cf	non-
chain'	non-
challenging	non-
championship	non-
chaotic	non-
chargeable	non-
charismatic	non-
charitable	non-
charm	non-
chemical	non-
chemist	non-
chic	non-
chicken	non-
cholestatic	non-
cholinergic	non-
chordal	non-
chorus	non-
christian	non-
chromatographic	non-
chronological	non-
church	non
church-goer	non-
churchgoer	non-
cichlid	non-
circular	non
citation	non-
citizen	non-
civil	non-
civilian	non-
civility	in
claimant	non-
clash	non-
class	non-
classic	non-
classical	non
classified	non-
clausal	non-
clearer	non-
clearing	non-
cleaved	non
clemency	in
clerical	non-
client	non-
climatic	non-
climber	non-
climbing	non-
clinical	non
clinically	non
clogging	non-
closed	non-
closure	non-
clownfish	non-
clustered	non-
co-operation	non
co-operative	non-
co-operatively	non-
cockney	non-
code	non
codified	non-
coding	non-
coeliac	non-
coerced	non-
coercive	non-
cognate	non-
cognisant	in
cognitive	non-
cognitivism	non-
cognoscentus	in
cohabitation	non
coherence	in
coherency	in
coherent	non-
coherently	in
cohesion	in
cold	non-
colinear	non-
colitic	non-
collaboration	non-
collaborative	non-
collection	non-
collector	non-
collegiate	non-
colloquial	non-
collusively	non-
colonial	non-
colonised	non-
coloured	non-
com	non
combatant	non-
combinatorial	non-
combustible	non-
comedy	non-
comfortable	non-
commensurable	in
commensurate	non-
commercial	non-
commercialised	non-
commissioned	non
commital	non-
commitment	non-
committal	non
committed	non-
commodious	in
commodity	non-
common	non-
commonsensical	non-
communautaire	non-
communicable	non-
communicating	non
communication	non-
communicative	non-
communicator	non-
communist	non-
community	non-
commutative	non-
commuting	non-
compact	non-
comparability	non-
comparable	non
comparably	in
comparative	non-
compassionate	non-
compatibility	in
compatible	non-
competence	in
competency	in
competent	non-
competently	in
competing	non-
competition	non-
competitive	non
competitively	non-
competitiveness	non-
competitor	non-
complacent	non
complaining	non-
complete	in
completely	in
completeness	in
completion	non-
complex	non-
compliance	non
compliant	non-
comprehend	in
comprehensibility	in
comprehensible	in
comprehensibly	in
comprehension	non
comprehensive	non-
compressed	non-
compressibility	in
compressible	in
compromise	non-
compulsory	non-
computational	non-
computer	non-
computer-assisted	non-
computer-literate	non-
computer-related	non
computerised	non-
computing	non-
concealed	non-
conceivable	in
conceivably	in
concept-dependent	non-
concessional	non-
conclusive	in
conclusively	in
conclusiveness	in
concurrence	non-
condensing	non-
conditionally	non-
conductor	non-
confident	non-
confidential	non-
conform	non
conformance	non
conformer	non-
conforming	non
conformism	non
conformist	non
conformity	non
confounding	non-
confrontation	non-
confrontational	non-
congruence	in
congruency	in
congruent	non-
congruity	in
congruous	in
conscious	non-
consciousness	non
consecutive	non-
consensual	non-
consensually	non-
consent	non-
consenting	non-
consequence	in
consequent	in
consequential	non-
consequentialist	non-
consequentially	in
consequently	in
conservation	non-
conservative	non
conserved	non-
conserver	non-
considerable	in
considerate	in
considerately	in
consistency	in
consistent	in
consistently	in
conspicuous	in
conspicuously	in
conspicuousness	in
conspiratorial	non-
constancy	in
constant	non-
constipated	non-
constituent	non-
constitutional	non-
constitutionally	non
constitutive	non-
consular	non-
consultant	non-
consultation	non-
consumer	non-
consuming	non-
consummation	non-
consumption	non-
contaminated	non-
contaminating	non-
contender	non-
contentious	non-
contest	non-
contestable	non
contested	non-
context-dependent	non-
contiguous	non-
continence	in
contingent	non-
contingently	non-
continuing	non-
continuous	non-
contraceptive	non-
contraceptor	non-
contracted	non-
contractile	non-
contracting	non-
contractual	non-
contradiction	non
contradictory	non-
contributing	non-
contributory	non
control	non
controlled	non-
controversial	non
convecting	non-
convenience	in
convenient	in
conveniently	in
conventional	non
convergence	non-
convergent	non-
conversation	non-
conversational	non-
convertibility	in
convertible	non-
convex	non-
conveyancing	non-
cooperating	non-
cooperation	non-
cooperative	non-
cooperatively	non-
cooperativeness	non-
copper	non-
copyright	non-
coronal	non-
corporate	non-
corporeal	in
corpuscular	non-
correct	in
correctly	in
correctness	in
correlation	non-
correspondence	non-
corrigibility	in
corroding	non-
corrosive	non-
corrosiveness	non-
corruptibility	in
corruptible	in
corruption	in
cosmological	non-
cosmopolitan	non-
cotectic	non-
councillor	non-
county	non-
course	non-
covalent	non-
covalently	non
coverage	non-
crack	non
creation	non-
creative	non-
credibility	in
credible	in
credibly	in
credulity	in
credulous	in
crime	non-
criminal	non-
critical	non-
cross	non-
crystalline	non-
crystallisation	non-
crystallographic	non
cuddly	non-
culinary	non-
culpable	non-
cultural	non-
cumulative	non-
curable	in
curative	non-
cure	in
curiam	in
curiosity	in
curious	in
curiously	in
currency	non-
current	non-
custodial	non-
custody	non-
custom	non-
customer	non-
cutaneous	non
cyclic	non
cyclical	non-
cytotoxic	non-
da	non-
daily	non-
damaged	non-
damaging	non-
dancer	non-
dancing	non-
dangerous	non-
data-ink	non-
deadly	non-
deaf	non-
decaying	non
decency	in
decent	in
decently	in
decimal	non-
decipherable	in
decision	non-
decision-making	non-
decision-taking	non-
decisive	in
decisively	in
decisiveness	in
declared	non-
decomposable	non-
decorous	in
decorum	in
decrease	non-
decreasing	non
dedicated	non-
defeasibility	non-
defeasible	in
defection	non-
defective	non-
defence	non-
defensible	in
defensive	non-
defensively	non-
definable	in
definably	in
defining	non-
definite	in
definitely	in
definiteness	in
definition	non-
definitional	non-
degeneracy	non-
degenerate	non-
deglutitive	non-
degradable	non-
degradation	non-
degree	non-
deictic	non-
deictically	non-
delayed	non-
delegated	non-
deleted	non-
deliberate	non-
deliberately	non-
delicacy	in
delicate	in
delicately	in
delinquent	non-
delivery	non-
demanding	non-
demeaning	non-
demented	non-
dementing	non-
democracy	non-
democratic	non-
demographic	non-
demonstrable	in
demonstrative	non-
demonstratively	non-
denaturing	non
denominational	non
dense	non-
department	non-
departmental	non
dependant	non-
dependence	in
dependency	in
dependent	non-
dependently	in
deposit-taking	non-
deposition	non-
depositional	non-
depreciating	non-
depreciation	non-
depressed	non
derivative	non-
derogation	non-
describable	in
described	non-
description	non-
descriptive	non-
descriptor	non-
deserving	non-
designated	non-
destructibility	in
destruction	non
destructive	non
destructively	non-
destructiveness	non-
detectable	non-
detection	non-
determinable	in
determinacy	in
determinate	in
determinately	in
determination	non-
determine	in
determinism	non
determinist	in
deterministic	non
developer	non-
development	non-
developmental	non-
deviant	non-
dextral	non-
diabete	non-
diabetic	non
diagnostic	non-
dialectal	non-
dialectical	non-
diatonic	non-
dictatorial	non-
diction	in
diet	non-
differentiable	non-
differential	non-
differentiation	non-
differently	in
digestibility	in
digestible	non-
digestion	in
digital	non-
diglossic	non-
dignity	in
dilated	non-
dimensional	non-
diminutive	non-
diocesan	non-
diploid	non-
diplomat	non-
dipolar	non-
direct	in
directed	non-
direction	in
directional	non-
directive	non-
directly	non-
directly-elected	in
directness	in
disabled	non-
disapproval	non-
discernible	in
disciplinarian	non-
disciplinary	non-
discipline	in
disciplined	in
disclosed	non-
disclosure	non
discounted	non-
discovery	non-
discreet	in
discreetly	in
discretion	in
discretionary	non-
discriminant	in
discriminate	in
discriminately	in
discriminating	non-
discrimination	non-
discriminatory	non
discursive	non-
disease	non-
disintegration	non-
disjunction	non-
dismissal	non-
dispensable	in
dispersing	non-
dispersive	non-
disposable	non
dispose	in
disposed	in
disposition	in
disputable	in
dissenting	non-
dissociable	in
distinct	in
distinctiveness	non-
distinctly	in
distinctness	in
distinguishability	in
distinguishable	in
distorted	non-
distorting	non-
distortionary	non-
distressed	non-
distributable	non-
distribution	non
disturbance	non-
divergent	non
divided	non-
dividend	non-
dividing	non-
divisibility	in
divisible	in
division	non-
divisional	non-
divorce	non-
divorcing	non-
doctor	non-
doctrinaire	non-
doctrinal	non-
doctrine	in
document	non-
documented	non-
doer	non-
dogmatic	non-
domestic	non-
domesticated	non-
dominant	non-
draining	non-
drama	non-
dramatic	non-
drawing	in
dreamer	non-
dreaming	non-
drinker	non
drinking	non-
drip	non
driver	non-
drop	non-
drug	non-
drying	non-
dualism	non-
dualist	non-
duplicated	non-
durable	non
duration	in
dusty	in
dynamic	non-
earning	non-
eastern	non-
eater	non-
eating	non-
ecclesiastical	non-
economic	non
economically	non-
economist	non-
ectothermic	non-
edibility	in
edible	non-
edited	in
educable	in
educational	non-
educationist	non-
effect	non-
effective	in
effectively	in
effectiveness	in
effectual	in
effectually	in
efficacious	in
efficacy	in
efficiency	in
efficient	in
efficiently	in
effusive	in
egalitarian	non-
egalitarianism	in
egocentric	non-
elastic	non-
elastically	in
elasticated	non-
elasticity	in
elderly	non-
elected	non-
election	non-
elective	non-
electric	non-
electrical	non-
electrified	non-
electrolyte	non-
electrolytic	non-
electronic	non-
elegance	in
elegant	in
elegantly	in
elemental	non-
elf	non-
eligibility	in
eligible	non-
eliminable	in
elite	non-
elitist	non-
emergence	non-
emergency	non-
emotional	non-
emotionally	non-
emphatic	non-
empirical	non-
empiricist	non
employed	non-
employee	non-
employment	non-
empowerment	non-
emptiness	non-
empty	non
end	non-
endemic	non-
endocrine	non-
endorsed	non-
endothermic	non-
engagement	non-
english	non-
entailment	non-
enthusiast	non-
entitled	non-
entitlement	non-
entity	non
entrepreneur	non
entrepreneurial	non-
envious	non-
environmentally	non-
envy	non-
enzymatic	non
enzymically	non-
ephemeral	non-
epileptogenic	non-
episcopal	non-
equality	non-
equatorial	non-
equilibrium	non
equitable	in
equitably	in
equity	non-
equivalence	non-
ericaceous	non-
erotic	non-
erupting	non-
essential	non
essentialist	non-
established	non-
estimable	in
ethanolic	non-
ethereal	non
ethical	non-
ethnic	non-
european	non-
evaluable	non-
evaluative	non-
evangelical	non-
even	non-
event	non-
eventful	non
eviction	non-
evident	non-
evolutionary	non-
exact	in
exactitude	in
exactness	in
examinable	non-
examined	non-
excludable	non-
excluded	non-
exclusive	non-
exclusively	non-
exclusivity	non-
excusable	in
excusably	in
excused	non-
exec	non-
executable	non-
execute	non-
execution	non-
executive	non
exemplar	non-
exempt	non-
exercise	non-
exerciser	non-
exhausted	in
exhaustive	non-
existence	non
existent	non
existing	non-
expandable	non-
expansion	non-
expansionist	non-
expansive	in
expediency	in
expedient	in
expelled	non-
expensive	in
expensively	in
experience	non-
experienced	non-
experiment	non-
experimental	non-
expert	non-
expertise	in
expertly	in
explanation	non-
explanatory	non-
explicable	in
explicit	non-
explicitly	in
exploitative	non-
explosive	non-
exporter	non-
exporting	non-
exposed	non-
expressible	in
expressive	non-
expressively	in
expressiveness	in
extendable	non-
extended	non-
extensible	non-
extradition	non-
factual	non-
fallacious	non-
fallibilism	in
fallibilist	in
fallibility	in
fallible	in
falsifiability	non-
falsifiable	non-
familial	non-
familiar	non-
familiarity	non-
family	non-
famous	non-
famously	in
fan	non-
fanciful	non-
farmer	non-
farming	non-
fascist	non-
fast	non
fasting	non-
fat	non-
fatal	non
father	non-
fault-tolerant	non-
faunal	in
feasibility	in
feasible	in
feature	non-
fecundity	in
federal	non-
federalist	non-
fee	non-
fee-paying	non-
feeble	non-
feeding	non-
felicitous	in
felicity	in
femininity	non-
feminist	non
fenestration	in
fermented	non-
ferrous	non
fertile	in
fertility	in
fetal	non-
feudal	non-
fibre	non-
fiction	non
fictional	non-
fidelity	in
fifties	non-
fighter	non-
figurative	non-
financial	non-
financially	non-
fine	non-
finisher	non-
finitary	in
finite	non-
finitely	in
finitude	in
first	non-
first-class	non
fishkeeper	non-
fishy	non-
fixed	non-
flag	non-
flammable	non
flexibility	in
flexible	in
flexibly	in
flexion	in
flicker	non
floating	non-
flowering	non-
flowing	non-
fluency	non-
fluent	non-
fluffy	non-
fluid	non-
fluorescent	non-
fluoridated	non-
fly	non-
flyer	non-
flying	non-
folded	in
food	non-
forensic	non-
foreseeable	non-
forest	non-
forester	non-
form	non-
formal	non
formalisation	in
formalism	in
formality	in
formally	in
formational	in
formative	non-
formatively	in
formed	non-
former	non-
formulaic	non-
fortuitous	non
forward-looking	non-
fossil-fuel	non-
foundationalist	non-
fractal	non-
